id,source,split,topic,question,short_answer,evidence,options,correct_answer
casimedicos_310_216,CasiMedicos,train,OPHTHALMOLOGY,Caso clinico: Unos padres acuden a urgencias con su hijo de dos años porque refieren que se ha dado un golpe cerca del ojo derecho jugando. Efectivamente se observa un hematoma en el párpado derecho aparentemente sin importancia. En el fondo de ojo se observan hemorragias intrarretinianas no sólo en el ojo que refieren los padres sino también en el otro ojo. Llama la atención que el niño parece adormilado y con poco tono. ¿Cuál de las siguientes afirmaciones debería considerar respecto a este cuadro clínico?,Es una historia altamente sugestiva de maltrato infantil.,"El problema es la opción 4, que nos puede confundir. Veamos: tenemos un golpe en la zona del ojo derecho, con un hematoma en el párpado. El problema es que aparecen hemorragias retinianas no sólo en ese ojo (que ya de por sí es raro, porque por un golpe externo del ojo en un niño raramente se produce sangrado en la retina), sino en el otro. Con lo cual, algo que no ha sido el golpe ha causado hemorragias en ambas retinas. Luego nos dicen que el niño parece adormilado y con poco tono. Aquí ya tenemos las dos claves; tenemos que sospechar lo que no se menciona en las respuestas, pero que es lo que tiene el niño: el síndrome del niño sacudido (shaken baby syndrome). Lo característico de este síndrome son las hemorragias retinianas bilaterales, edema cerebral y hematoma subdural. También puede haber fractura de huesos largos y otros problemas. La causa del síndrome del niño sacudido es casi siempre el maltrato, así que la respuesta es la 1. Las opciones 2 y 3 son fáciles de descartar: nada nos indica traumatismo perforante, y no explica las hemorragias del otro ojo. Y el edema de berlin es un edema de la mácula y aparece como una lesión blanquecina, que no está descrita en el enunciado. La retinopatía de Purstcher puede aparecer también en el contexto de del niño del niño sacudido, y por tanto ocurrir en el caso de maltrato infantil. Sin embargo, si leemos bien la respuesta 4, no nos habla de que si hay maltrato infantil se pueda producir un Purstcher. Nos afirma que el cuadro descrito antes (hemorragias intrarretinianas, sin otros hallazgos) es característico de la angiopatía de Purstcher. Y no es así. En el Purstcher hay hemorragias, pero también exudados algodonosos y edema. Si sólo hay hemorragias, no es un Purstcher.","{'1': 'Es una historia altamente sugestiva de maltrato infantil.', '2': 'Es la evolución normal de un traumatismo intraocular no perforante.', '3': 'El diagnóstico más probable es un edema de Berlin.', '4': 'Es el cuadro característico de la angiopatía retiniana traumática de Purstcher.', '5': 'nan'}",1
casimedicos_293_214,CasiMedicos,train,"DERMATOLOGY, VENEREOLOGY AND PLASTIC SURGERY",Caso clinico: Un paciente acude a urgencias por presentar una eritrodermia con fiebre y malestar general. En la exploración se aprecia en las uñas la presencia de piqueteado ungueal y unas zonas amarillentas distales en mancha de aceite. ¿Cuál es la enfermedad primaria que ha originado el cuadro?,Psoriasis.,"Cualquiera de las 4 opciones puede ser la causa de la eritrodermia, aunque la descripción de lesiones ungueales altamente sugestivas de psoriasis hacen de este diagnóstico el más probable.","{'1': 'Linfoma cutáneo.', '2': 'Dermatitis atópica.', '3': 'Psoriasis.', '4': 'Ictiosis.', '5': 'nan'}",3
casimedicos_132_229,CasiMedicos,train,NEUROLOGY AND NEUROSURGERY,"Caso clinico: Hombre de 54 años, con antecedentes personales de DM, HTA e insuficiencia renal crónica leve, que presenta somnolencia y hemiparesia derecha. En la analítica: creatinina de 2.3 mg/dl, Hb 10.3 g/dl y plaquetas 20000 mm3, con coagulación normal. En TAC craneal: lesiones isquémicas con necrosis microhemorrágicas. Posteriormente comienza con deterioro progresivo del nivle de conciencia y aumento de Cr, LDH y bilirrubina no conjugada. Se realiza Coombs directo que es negativo. Esquistocitos en frotis. CORRECT ANSWER: 2",Iniciar plasmaféresis urgente.,"Veamos: un paciente con ciertos antecedentes que tiene: – Esquistocitos en frotis: indica anemia microangiopática, ruptura de hematíes de causa mecánica, cosa que se puede ver fundamentalmente en PTT, anemia hemolítica autoinmune y CID. – Bicitopenia: ahí las causas pueden ser muuuuuy variadas. – Elevación de LDH y Bilirrubina, lo cual indica ruptura de hematíes a cascoporro. – Coombs directo negativo: dato esencial, indica que no hay ningún anticuerpo que se pegue al hematíe. Con estos mimbres vamos a tejer el cesto: Respuesta 1: no puede ser porque una transformación hemorrágica no da una elevación de LDH y Cr tan brutal, además de no explicar la esquistocitosis. Respuesta 2: plasmaféresis urgente…en caso de púrpura trombótica trombocitopénica sí; esta respuesta me gusta porque justifica la bicitopenia, ya que se produce anemia hemolítica microangiopática por ruptura de los hematíes al ser fragmentados por los multímeros de factor de von Willebrand ultralargos en caso de deficiencia de la enzima ADAMST13, con lo que se producen agregados plaquetarios brutales y el citómetro de flujo no cuenta 400 plaquetas, sino un molondrón de plaquetas que forman una masa, de ahí la trombocitopenia. También explica el Coombs directo negativo, la elevación de LDH y Cr. Respuesta 3: una situación tan crítica como la de ese paciente indica que algo gordo está pasando y yo no me sentaría a esperar a que los glucocorticoides hicieran efecto…y no caigo ahora mismo qué patología da esa sintomatología y tenga ese tratamiento como estándar. Respuesta 4: buscar desencadenante de cuadro de CID…tendría sentido de no ser porque en el CID es MUY característico el consumo de factores de coagulación, lo cual no se da en este caso. Respuesta 5:un mieloma no da esquistocitosis ni tiene esa sintomatología, tendrían que dar otros datos que apoyara esa patología, como el dolor óseo y la hipercalcemia…","{'1': 'Nuevo TAC craneal ante la sospecha de transformación hemorrágica de ictus isquémico.', '2': 'Iniciar plasmaféresis urgente.', '3': 'Inicio de tratamiento con glucocorticoides a dosis de 1 mg/kg/día.', '4': 'Buscar causa desencadente de cuadro de CID.', '5': 'Sospecha de Mieloma Múltiple: aspirado de médula ósea.'}",2
casimedicos_120_192,CasiMedicos,train,PREVENTIVE MEDICINE AND EPIDEMIOLOGY,Caso clinico: Médico traumatólogo de 40 años que en una serología rutinaria se le detecta niveles de antiHBs de 30 UI/l. Refiere vacunación completa según pauta estándar frente a hepatitis B hace 4 años. CORRECT ANSWER: 3,No revacunar.,Mientras los niveles serológicos de antiHBs estén por encima de 10 UI/l no es necesario revacunar.,"{'1': 'Reiniciar pauta vacunal (0-1-6 meses).', '2': 'Reiniciar pauta vacunal (0-1-2-12 meses).', '3': 'No revacunar.', '4': 'Darle una dosis de recuerdo o booster.', '5': 'Darle inmunoglobulina anti-hepatitis B y reiniciar pauta vacunal (0-1-2-12 meses).'}",3
casimedicos_304_174,CasiMedicos,train,NEPHROLOGY,"Caso clinico: Hombre de 87 años con antecedentes de hipertensión y gonartrosis. Situación basal con autonomía funcional y cognitiva plena que le permite continuar viviendo solo en la comunidad. Realiza tratamiento habitual con perindopril y diurético tiazídico para control de la presión arterial y toma de forma rutinaria ibuprofeno 1800 mg/día para control de los síntomas derivados de su gonartrosis. Tras control rutinario se objetiva, de forma persistente, una presión arterial de 190 y TAD 80 mmHg. ¿Cuál sería la modificación terapéutica más razonable para conseguir el control de las cifras tensionales?",Cambiaría el ibuprofeno por paracetamol para evitar la posible influencia del mismo sobre el efecto de los hipotensores.,"Antes de intensificar el tratamiento antihipertensivo se deben solucionar las causas potenciales. En este caso se trata de un paciente añoso con un tratamiento crónico con AINEs que produce hipertensión arterial secundaria a hipoperfusión renal. La opción más razonable sería retirar el ibuprofeno y sustituirlo por un analgésico de un grupo diferente a los AINEs (paracetamol, opiáceos), vigilando posteriormente la evolución de las cifras tensionales.","{'1': 'Añadiría un bloqueante del calcio.', '2': 'Aumentaría la dosis de hidroclorotiazida a 25 mg/día.', '3': 'Cambiaría el ibuprofeno por paracetamol para evitar la posible influencia del mismo sobre el efecto de los hipotensores.', '4': 'Añadiría un bloqueante alfa por la elevada prevalencia de síndrome prostático en varones de esta edad.', '5': 'nan'}",3
casimedicos_214_228,CasiMedicos,train,RHEUMATOLOGY,"Caso clinico: Hombre de 19 años de edad que consulta por un cuadro de 24 horas de evolución de dolor, tumefacción e impotencia funcional de la rodilla derecha acompañado de fiebre de 38°C. La exploración física pone de manifiesto signos inflamatorios y derrame articular en la rodilla derecha. Los datos analíticos muestran una leucocitosis con neutrofilia y una elevación de la proteina C reactiva. Se hace el diagnóstico sindrómico de monoartritis aguda. ¿Cuál es el diagnóstico etiológico más probable?",Artritis infecciosa bacteriana.,"Una monoartritis aguda asociada a fiebre, leucocitosis con neutrofilia y aumento de reactantes de fase aguda no siempre tiene un origen séptico. En ausencia de más información (anamnesis más completa sobre la enfermedad actual, factores de riesgo, antecedentes personales y familiares, síntomas o signos extraarticulares, etc.) cabe decir que también la 1 y 2 (y muy excepcionalmente la 5) podrían debutar con un cuadro clínico y biológico similar. Con los datos que nos proporcionan y teniendo en cuenta que se trata de un varón joven, la opción más probable sería la de una artritis infecciosa bacteriana (la causada por mycobacterias suelen tener un curso crónico). Y sobre todo, por sus implicaciones, la primera que siempre hay que descartar.","{'1': 'Artritis por microcristales.', '2': 'Artritis reactiva.', '3': 'Artritis infecciosa bacteriana.', '4': 'Artritis infecciosa por mycobacterias.', '5': 'Artritis reumatoide.'}",3
casimedicos_249_120,CasiMedicos,train,INFECTIOUS DISEASES,"Caso clinico: Mujer de 53 años, que consulta por fiebre de 15 días de evolución, sin síntomas de focalidad infecciosa. En la exploración se detecta una hepatomegalia dolorosa a 5 cm del reborde costal y se palpa el bazo a 14 cm del reborde costal izquierdo. En el hemograma se aprecia Hb 8,5 g/dl, leucocitos 630/ml (linfocitos 63%, monocitos 20%, neutrófilos 17%) y plaquetas 35.000/ml. La bioquímica muestra una elevación moderada de la bioquímica hepática, LDH es normal y se observa en el proteinograma una hipergammaglobulinemia policlonal (3,5 g/dL). Tiene antecedentes de infección por VIH conocida desde hace 10 años y adherencia irregular al tratamiento antiretroviral, con determinaciones recientes de linfocitos CD4 350 cel/mL y carga viral de VIH de 154 copias/ml. Durante los últimos 3 meses ha estado tratada por poliartritis simétrica seronegativa con 10-20 mg/día de prednisona. ¿Cuál de las siguientes afirmaciones es correcta?","Realizaría una biopsia de médula ósea, ya que el diagnóstico mas probables es una leishmaniasis visceral.","Nos hablan de una paciente VIH con seguimiento irregular del tratamiento antirretroviral, que presenta fiebre, hepatoesplenomegalia, pancitopenia y un una hipergammaglobulinemia policlonal. Todos estos datos son sugestivos de Leishmaniasis visceral, por lo que habría que realizar una biopsia de MO para buscar amastigotes y confirmar el diagnóstico.","{'1': 'Realizaría una biopsia de médula ósea, ya que el diagnóstico mas probables es una leishmaniasis visceral.', '2': 'La pancitopenia se justifica por una cirrosis asociada al virus C y no realizaría mas pruebas.', '3': 'Probablemente se trate de una toxicidad medular por prednisona que trataría con retirada del fármaco y filgastrim.', '4': 'Solicitaría una determinación de ANAs para descartar lupus sistémico diseminado.', '5': 'Intensificaría el tratamiento antirretroviral, pues es probable que todas las manifestaciones se deban al VIH.'}",1
casimedicos_53_146,CasiMedicos,train,PSYCHIATRY,Caso clinico: Hombre de 31 años sin antecedentes psiquiatricos acude a urgencias refiriendo… síntomas de ansiedad)¨. Hace dos días experimento otro cuadro igual…. Hace 1 semana ha roto su relación de pareja… Descartada cualquier patología orgánica…: Pregunta útil y realista.,Crisis de angustia.,"No olvidemos que también los hipocondríacos tienen cuerpo. Eliminamos primero lo más llamativo trastorno «agudo» de personalidad. No hay características «agudas» en nuestra personalidad. ¿Trastorno depresivo? Existe un criterio temporal que no se cumple, puede que este triste, pero triste no es depresión (1). ¿agorafobia? si fuese algo de eso nos habrían comentado el contexto ¿reacción de estres postraumatico? El término correcto sería trastorno de estrés postraumatico o reacción a estres agudo, y según CIE 10: «El agente estresante puede ser una experiencia traumática devastadora que implica una amenaza seria a la seguridad o integridad física del enfermo o de persona o personas queridas (por ejemplo, catástrofes naturales, accidentes, batallas, atracos, violaciones) o un cambio brusco y amenazador del rango o del entorno social del individuo (por ejemplo, pérdidas de varios seres queridos, incendio de la vivienda, etc.)» o más brevemente: «naturaleza excepcionalmente amenazante o catastrófica» Romper con la pareja entiendo que es duro, pero no excepcional. Así que por eliminación 5. Crisis de angustia. Los diagnósticos del 1 al 4 sería como llamar diabético al que tiene hiperglucemia tras comer tres magdalenas.","{'1': 'Reacción de estres postraumatico.', '2': 'Trastorno «agudo» de personalidad dependiente.', '3': 'Trastorno depresivo.', '4': 'Agorafobia.', '5': 'Crisis de angustia.'}",5
casimedicos_48_158,CasiMedicos,train,PEDIATRICS,"Caso clinico: Un niño de 10 años es traído a Urgencias porque desde hace 2 horas se le gira involuntariamente el cuello a la derecha asociado a marcado dolor cervical en cada giro. La abuela, posteriormente, nos dice que está vomitando desde ayer, por lo que le dio un jarabe; ¿cuál sería la actitud terapéutica más acertada?",Inyectar un anticolinérgico endovenoso.,La respuesta correcta es la 1. El anticolinérgico se puede administrar por vía endovenosa y también intramuscular si no me equivoco. La aparición de la distonía como efecto secundario es frecuente en niños y es uno de los principales motivos por los que los pediatras no solemos recetar algunos antieméticos en los niños.,"{'1': 'Inyectar un anticolinérgico endovenoso.', '2': 'No tratar hasta no realizar en los días próximos un electroencefalograma.', '3': 'No tratar hasta no saber en días próximos el resultado del cultivo del líquido cefalorraquídeo.', '4': 'Llamar al psiquiatra de guardia.', '5': 'Poner un antibiótico intravenoso tras obtener muestra del exudado faríngeo.'}",1
casimedicos_490_106,CasiMedicos,train,HEMATOLOGY,"Caso clinico: Mujer de 65 años derivada a urgencias por fiebre y alteraciones en la analítica: Hemoglobina 11,4 g/dL, leucocitos 0,86 x103/μL,(neutrófilos 41,9%, linfocitos 55,8%),plaquetas 48,0 x103/μL, fibrinógeno 118 mg/dL,dímero D 20,2 μg/mL. Se realiza examen de médula ósea con la que se le diagnostica una leucemia aguda con t(15;17) en el 60% de lascélulas. ¿Cuál de las siguientes respuestas es correcta?:","Se iniciará tratamiento con trióxido de arsénico, ATRA y terapia de soporte.","Se trata de una leucemia promielocítica definitoria con la t(15;17), y como es bien sabido por todos vosotros el tratamiento es con trióxido de arsénico + ATRA. La opción 1 queda incompleto el tratamiento solo hay ATRA y hay que tratarla siempre que las condiciones del enfermo lo permitan, haya o no síntomas. La opción 3 hace 3 años sería la opción correcta pero hoy en dia ni se trata con quimioterapia ni se pone heparina. Y la opción 4 es falsa porque esa fiebre se debe a la propia leucemia y lo prioritario es iniciar el tratamiento específico de la leucemia.","{'1': 'Si está asintomática se iniciará ácido transretinoico (ATRA) y se recomendarán controles en hospital de día.', '2': 'Se iniciará tratamiento con trióxido de arsénico, ATRA y terapia de soporte.', '3': 'Es una leucemia mieloblástica tipo M3, por lo que se iniciara tratamiento quimioterápico y heparina para controlar la coagulación intravascular diseminada.', '4': 'Se debe iniciar tratamiento antibiótico. Cuando desaparezca la fiebre se iniciará el tratamiento de la leucemia.', '5': 'nan'}",2
casimedicos_416_76,CasiMedicos,train,GENERAL SURGERY,"Caso clinico: Mujer de 78 años con demencia e institucionalizada es traída por sus cuidadores por dolor abdominal importante con deterioro del estado general y distensión abdominal. Analítica con leucocitosis, hematocrito elevado, insuficiencia renal y acidosis metabólica. El ECG muestra fibrilación auricular. La tomografia abdominal detecta asas de intestino delgado edematizadas, con acumatosis Intestinal y portal. ¿Por qué no son los otros cuadros?",Isquemia mesentérica.,"Al leer este enunciado se encienden múltiples alarmas: – Fibrilación auricular: En el mir y en la puerta de urgencias, cualquier anciano con una FA y dolor abdominal es una isquemia mesentérica de causa embolígena hasta que no se demuestre lo contrario. – Dolor abdominal agudo, SIRS, fracaso renal, acidosis metabólica (isquemia!), probablemente un láctico elevado… – TAC: El hallazgo de gas portal ambién es altamente indicativo de una isquemia mesentérica, también nos podrían haber hablado de neumatosis intestinal. – Ulcus perforado: Nos habrían hablado de historia de consumo de AINES, o de una historia de dolor que mejora con la ingesta, de neumoperitoneo en Rx de tórax. – Íleo Biliar: Existirían antecedentes de cólicos biliares o de dolor en hipocondrio derecho, igualmente hablarían de aerobilia en prueba de imagen y dilatación de asas de delgado con imagen (o no) de litiasis biliar en ileon terminal. – Neo de sigma: En el mir nos hablarían de pérdida de peso, cambio de hábito deposicional, neumoperitoneo en Rx o TAC y exploración abdominal peritonítica pudiendo incluso palpar la masa.","{'1': 'Perforación de ulcus gastrico o duodenal.', '2': 'lleo biliar.', '3': 'Neoplasia obstructiva de sigma con perforación.', '4': 'Isquemia mesentérica.', '5': 'nan'}",4
