id,source,split,guidebook,topic,question,short_answer,evidence,subquestion,options,correct_answer
sns1064_00010,SNS1064,dev,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia de relajación?",k) ¿Es factible la implementación de la opción?,Probablemente sí.,"No se identificaron estudios que respondieran a la pregunta.

El GAG considera que la implementación de la terapia de relajación en AP requiere de la disponibilidad de profesionales capacitados y con experiencia en esta modalidad de tratamiento, así como del espacio físico adecuado para su aplicación. La terapia de relajación es una intervención que puede desarrollar el personal de enfermería familiar y comunitaria dentro de su ámbito competencial. No obstante, la presencia del profesional de psicología clínica en AP, actualmente como proyecto piloto en algunas CCAA, ayudaría a que la recomendación se implementase sin dificultades.",,,
sns1064_00011,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la pregabalina frente al placebo?",k) ¿Es factible la implementación de la opción?,Sí.,"No se identificaron estudios que respondieran a la pregunta.

Desde 1 de abril de 2019, la pregabalina está controlada por la Ley de uso indebido de drogas de 1971 como sustancias de Clase C y están programadas según las Regulaciones sobre el uso indebido de drogas de 2001 como Lista 3. Si bien la implementación de este tratamiento parece viable, algunos aspectos relacionados con la prescripción de pregabalina para el TAG como su indicación para TAG refractario, hacen que se deba evaluar si debería ser pautada tras la valoración del paciente en AE en Salud Mental.",,,
sns1064_00012,SNS1064,dev,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la buspirona frente al placebo?",j) ¿Es aceptable la opción para los agentes implicados?,Probablemente sí.,"En los ECA considerados, las tasas de abandono de la buspirona debido a efectos adversos durante el periodo de tratamiento analizado, que varió entre las 4 y 8 semanas, parecen equiparables a las del placebo (164,178,182,183,187,198,199).",,,
sns1064_00013,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la medicina herbal oriental frente a los ansiolíticos y al placebo?",c) ¿Cuál es la certeza global en la evidencia sobre los efectos?,Muy baja.,"Comparación de la medicina herbal oriental frente a placebo: la calidad global de la evidencia fue considerada muy baja debido a que: el IC del efecto en el nivel de ansiedad cruza el umbral de decisión clínica (6 puntos en la Escala de Ansiedad de Hamilton) y, por tanto, se puede tomar una decisión clínica diferente con respecto a la intervención dependiendo de si se considera el límite inferior o superior); los resultados presentan una heterogeneidad sustancial no explicada por el análisis de subgrupos y; existe riesgo de sesgo debido a que no fue posible el cegamiento de pacientes, personal y evaluador de resultados. Por desenlace, la calidad de la evidencia fue considerada baja para el desenlace eventos adversos y muy baja para el de ansiedad. Comparación de la medicina herbal oriental frente a ansiolíticos: la calidad global de la evidencia fue considerada muy baja debido a que los resultados presentan una heterogeneidad entre moderada y alta, existe riesgo de sesgo dada la imposibilidad en el cegamiento de los pacientes y el personal y la falta de cegamiento de los evaluadores de resultados. La calidad de la evidencia para cada uno de los desenlaces fue considerada muy baja.",,,
sns1064_00014,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia metacognitiva?",j) ¿Es aceptable la opción para los agentes implicados?,Probablemente sí.,"No se han identificado estudios que evalúen específicamente la aceptabilidad de la terapia metacognitiva. El porcentaje de abandonos en los ECA considerados fue del 13,4% en el grupo de terapia metacognitiva, frente al 2,4% en el control, diferencia no significativa (97,98).

Según el estudio cualitativo realizado por el GAG, los siguientes factores favorecen la aceptabilidad de los tratamientos psicológicos por parte de los pacientes: − La accesibilidad de los profesionales en periodos de crisis de ansiedad (aumentando el número de sesiones o acceso telefónico en momentos agudos). − El recibir sesiones periódicas semanales durante una primera etapa hasta que se consigan manejar los síntomas más importantes. − La dotación de información y herramientas adaptadas a las particularidades del TAG y a las experiencias personales concretas. − La existencia de un seguimiento a largo plazo: oportunidad de retomar la relación terapéutica ante recaídas o crisis de ansiedad.",,,
sns1064_00015,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la medicina herbal oriental combinada con los ansiolíticos, frente a los ansiolíticos?",g) ¿Cuál es la certeza en torno a la evidencia sobre los recursos,No hay estudios incluidos.,No se identificaron estudios que respondieran a la pregunta.,,,
sns1064_00016,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la galphimia glauca frente al lorazepam?","h) El coste-efectividad de la intervención, ¿favorece a la",Desconocido.,No se identificaron estudios que respondieran a la pregunta.,,,
sns1064_00017,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia metacognitiva?",d) ¿Existe incertidumbre o variabilidad importante sobre cómo,La incertidumbre o variabilidad no son importantes.,"No se han podido identificar estudios que informen del valor que las personas con TAG otorgan a los diferentes desenlaces.

El GAG considera poco probable que exista variabilidad en cuanto a cómo los pacientes valoran los desenlaces principales.",,,
sns1064_00018,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la galphimia glauca frente al lorazepam?",a) ¿Cuál es la magnitud de los efectos deseables esperados?,Insignificante,"Se consideraron 2 ECA (n= 223) (218,219) entre los que 52 participantes fueron tratados con 350-700 µg/d de extracto de galphimia glauca, 55 con 700 µg/d de extracto de galphimia glauca, 57 fueron tratados con 1-2 mg/d de lorazepam y otros 59 participantes con 2 mg/d de lorazepam. La duración del tratamiento osciló entre las 4 y las 12 semanas. GPC PARA EL TRATAMIENTO DEL TRASTORNO DE ANSIEDAD GENERALIZADA EN ATENCIÓN PRIMARIA 141 Los resultados muestran que, en adultos con TAG, el tratamiento con galphimia glauca frente al lorazepam: No modifica los niveles de ansiedad. Para más información se pueden consultar los perfiles de evidencia GRADE disponibles en el material metodológico.",,,
sns1064_00019,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada del extracto de camomila frente a placebo?",g) ¿Cuál es la certeza en torno a la evidencia sobre los recursos,No hay estudios incluidos.,No se identificaron estudios que respondieran a la pregunta.,,,
sns1064_00020,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la medicina herbal oriental combinada con los ansiolíticos, frente a los ansiolíticos?",c) ¿Cuál es la certeza global en la evidencia sobre los efectos?,Baja.,"La calidad global de la evidencia fue considerada baja debido a que el IC del efecto cruza el umbral de decisión clínica (se puede tomar una decisión clínica diferente con respecto a la intervención dependiendo de si se considera el límite inferior o superior) en las variable ansiedad (6 puntos en la Escala de Ansiedad de Hamilton) y eventos adversos (12 puntos porcentuales), los resultados presentan una heterogeneidad entre moderada y sustancial no explicada por el análisis de subgrupos y existe riesgo de sesgo debido a que no fue posible el cegamiento de pacientes, personal y evaluador de resultados. Por desenlace, la calidad de la evidencia fue considerada moderada para el desenlace eventos adversos, evaluados con la escala TESS, y baja para los de síntomas de ansiedad y la tasa de eventos adversos.",,,
sns1064_00021,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de los inhibidores selectivos de la recaptación de serotonina (ISRS) frente al placebo?",i) ¿Cuál sería el impacto en la equidad en salud?,Probablemente sin impacto.,"No se identificaron estudios que respondieran a la pregunta.

La sertralina en la actualidad no tiene indicación en ficha técnica para el tratamiento de los adultos con TAG. Su prescripción podría generar inequidad en el acceso al tratamiento por parte de la población con menos recursos y también por CCAA o territorios.",,,
sns1064_00022,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada del mindfulness?","h) El coste-efectividad de la intervención, ¿favorece a la",Desconocido.,"No se identificaron estudios que respondieran a la pregunta.

En otros problemas de salud física y/o mental hay evidencia de que las terapias basadas en Mindfulness pueden ser más efectivas y menos costosas que el comparador (131).",,,
sns1064_00023,SNS1064,test,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada del extracto de valeriana frente al diazepam y frente al placebo?",i) ¿Cuál sería el impacto en la equidad en salud?,Probablemente reducido.,"No se identificaron estudios que respondieran a la pregunta.

Al ser un producto no financiado, el coste de este tratamiento sería asumido íntegramente por el paciente. Esto puede producir una inequidad en el acceso a este tratamiento en función del nivel adquisitivo.",,,
sns1064_00024,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de los inhibidores selectivos de la recaptación de serotonina (ISRS) frente al placebo?",a) ¿Cuál es la magnitud de los efectos deseables esperados?,Moderada.,"Se consideraron 15 ECA con un total de 5737 personas con TAG, 3266 tratados con algún ISRS, y 2471 tratados con placebo (132–146). De los 15 ECA, 6 ECA (n= 1.990) evalúan el efecto del escitalopram (136–138,141–143), 4 ECA (n= 1.600) el de la paroxetina (132,138– 140), 3 ECA (n= 1.066) el de la sertralina (133–135) y 3 el de la vilazodona (n= 1.475) (144–146). Los resultados muestran que el tratamiento con ISRS frente al placebo en adultos con TAG: Reduce los niveles de ansiedad (efecto pequeño). o En el caso de la paroxetina, sertralina y escitalopram, el efecto no supera el umbral de decisión clínica. Aumenta la probabilidad de respuesta (136 pacientes más por cada 1.000). Aumenta la probabilidad de remisión (141 pacientes más por cada 1.000). Incrementa la CVRS (efecto moderado). o En el caso de la sertralina y escitalopram, el efecto no supera el umbral de decisión clínica. Aumenta el riesgo de eventos adversos (185 pacientes más por cada 1.000). Reduce el riesgo de eventos adversos sexuales (21 pacientes menos por cada 1.000). GPC PARA EL TRATAMIENTO DEL TRASTORNO DE ANSIEDAD GENERALIZADA EN ATENCIÓN PRIMARIA 81 o En el caso de la paroxetina aumenta el riesgo en 150 pacientes más por cada 1.000). En el análisis de subgrupo se observaron diferencias en los desenlaces considerados claves entre los pacientes que recibieron diferentes dosis de: Vilazodona: Niveles de ansiedad 20 mg: no efecto 40 mg: no efecto 20-40 mg: efecto pequeño Probabilidad de respuesta 20 mg: no efecto 40 mg: 139 pacientes más por cada 1.000 20-40 mg: 134 pacientes más por cada 1.000 Riesgo de eventos adversos 20 mg: 94 pacientes más por cada 1.000 40 mg: no efecto 20-40 mg: 186 pacientes más por cada 1.000 Paroxetina: Probabilidad de remisión 20 mg: 113 pacientes más por cada 1.000 40 mg: 330 pacientes más por cada 1.000 20-50 mg: 134 pacientes más por cada 1.000 Riesgo de eventos adversos (no se especifican cuáles) 20 mg: 136 pacientes más por cada 1.000 40 mg: 112 pacientes más por cada 1.000 20-50 mg: 704 pacientes más por cada 1.000 Para más información se pueden consultar los perfiles de evidencia GRADE disponibles en el material metodológico.",,,
sns1064_00025,SNS1064,dev,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada del kava frente al placebo?",a) ¿Cuál es la magnitud de los efectos deseables esperados?,Insignificante.,"Se consideraron 3 ECA (n= 130) (220–222) entre los cuales 63 participantes fueron tratados con Kava y 67 recibieron placebo. La duración del tratamiento osciló entre las 3 y las 8 semanas. Los resultados muestran que, en adultos con TAG, el tratamiento con kava frente al placebo: No modifica los niveles de ansiedad. No modifica la tasa de respuesta. Para más información se pueden consultar los perfiles de evidencia GRADE disponibles en el material metodológico.",,,
sns1064_00026,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la quetiapina frente al placebo?",c) ¿Cuál es la certeza global en la evidencia sobre los efectos?,Alta.,"La calidad global de la evidencia fue considerada alta. Por desenlace, la calidad de la evidencia fue considerada moderada para los desenlaces de ansiedad y calidad de vida, y alta para la respuesta, remisión y eventos adversos.",,,
sns1064_00027,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de los inhibidores selectivos de la recaptación de serotonina (ISRS) frente al placebo?","h) El coste-efectividad de la intervención, ¿favorece a la",Probablemente favorece a la intervención.,"De acuerdo a la única evaluación económica identificada, la sertralina (ISRS) es más efectiva en términos de años de vida ajustados por calidad (AVAC) y menos costosa que placebo en Reino Unido (147). GUÍAS DE PRÁCTICA CLÍNICA EN EL SNS 84",,,
sns1064_00028,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada del extracto de pasiflora frente al oxazepam?",j) ¿Es aceptable la opción para los agentes implicados?,Probablemente sí.,"La aceptabilidad de los tratamientos farmacológicos fluctúa por cambios en la percepción de su efectividad o por la presencia de efectos secundarios. En el ECA analizado, la tasa de abandono en el grupo de participantes tratado con pasiflora es la misma que la del grupo tratado con oxazepam (2 de 18).

En términos generales, los productos elaborados sobre la base de plantas suelen percibirse como más seguros que los medicamentos.",,,
sns1064_00029,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia de aceptación y compromiso?",d) ¿Existe incertidumbre o variabilidad importante sobre cómo,La incertidumbre o la variabilidad probablemente no son importantes.,"No se han podido identificar estudios que informen del valor que las personas con TAG otorgan a los diferentes desenlaces.

El GAG considera poco probable que exista variabilidad en cuanto a cómo los pacientes valoran los desenlaces principales.",,,
sns1064_00030,SNS1064,dev,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la pregabalina frente al placebo?",a) ¿Cuál es la magnitud de los efectos deseables esperados?,Moderada.,"Se consideraron 6 ECA con un total de 1.667personas con TAG; 139 fueron tratadas con 150 mg/d de pregabalina, 78 con 200 mg/d, 91 con 300 mg/d, 186 con 400 mg/d, 175 con 450 mg/d, 334 con 600 mg/d y 121 con una pauta flexible entre 300 y 600 mg/d, mientras que 643 recibieron placebo (153,157,185,188,190,200). La duración del tratamiento osciló entre las 4 y 6 semanas. Los resultados muestran que el tratamiento con pregabalina frente al placebo en adultos con TAG: Reduce los niveles de ansiedad (efecto pequeño). Aumenta la probabilidad de respuesta (159 pacientes más por cada 1.000). No modifica los niveles de CVRS. Aumenta el riesgo de eventos adversos (136 pacientes más por cada 1.000). No modifica el riesgo de eventos adversos graves. Los resultados del análisis por subgrupo mostraron que el tratamiento con diferentes dosis de pregabalina no afecta en general a los desenlaces considerados claves. Para más información se pueden consultar los perfiles de evidencia GRADE disponibles en el material metodológico.",,,
sns1064_00031,SNS1064,dev,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de los inhibidores selectivos de la recaptación de serotonina (ISRS) frente al placebo?",c) ¿Cuál es la certeza global en la evidencia sobre los efectos?,Moderada.,"La calidad global de la evidencia fue considerada moderada. Esto se debe a que la inconsistencia observada entre estudios para alguno de los desenlaces considerados no ha podido ser explicada por los subgrupos establecidos (fármacos y dosis) o han mostrado a su vez heterogeneidad. Además de esto, el intervalo de confianza (IC) cruza el umbral de decisión clínica (se puede tomar una decisión clínica diferente con respecto a la intervención dependiendo de si se considera el límite inferior o superior) en las variable ansiedad (6 puntos en la Escala de Ansiedad de Hamilton) y CVRS (6,8 puntos en el cuestionario sobre Calidad de Vida, Satisfaccion y Placer, en su versión corta). Por desenlace, la calidad de la evidencia fue considerada moderada para ansiedad, respuesta, calidad de vida y eventos adversos, y alta para remisión.",,,
sns1064_00032,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la medicina herbal oriental frente a los ansiolíticos y al placebo?",i) ¿Cuál sería el impacto en la equidad en salud?,Probablemente reducido.,"No se identificaron estudios que respondieran a la pregunta.

Al ser productos no financiados, el coste de este tratamiento sería asumido íntegramente por el paciente. Esto puede producir una inequidad en el acceso a este tratamiento en función del nivel adquisitivo. Además, al ser productos que se suelen vender en herbolarios, la recomendación de los mismos podría producir también una desigualdad en el acceso debido al lugar de residencia puesto que estos establecimientos suelen ser menos frecuentes en entornos rurales.",,,
sns1064_00033,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada del kava frente al placebo?",i) ¿Cuál sería el impacto en la equidad en salud?,Probablemente reducido.,"No se identificaron estudios que respondieran a la pregunta.

Al ser un producto no financiado, el paciente asumiría todo su coste. Esto puede producir una inequidad en el acceso a este tratamiento en función del nivel adquisitivo. Además, al ser un producto que se suele vender en herbolarios, su recomendación podría producir también una desigualdad en el acceso debido al lugar de residencia puesto que estos establecimientos suelen ser menos frecuentes en entornos rurales.",,,
sns1064_00034,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la galphimia glauca frente al lorazepam?",f) ¿Cuál es la magnitud de los recursos requeridos (costes)?,Costes y reducción de costes insignificante.,"No se identificaron estudios que respondieran a la pregunta.

Al ser un producto no financiado, el coste de este tratamiento sería asumido íntegramente por el paciente. Pueden existir distintas presentaciones y combinaciones con otras plantas medicinales. Existen distintos canales de venta y los precios pueden varían considerablemente.",,,
sns1064_00035,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la medicina herbal oriental combinada con los ansiolíticos, frente a los ansiolíticos?",k) ¿Es factible la implementación de la opción?,Variable.,"No se identificaron estudios que respondieran a la pregunta.

La medicina herbal oriental no está incluida en todos los repertorios de medicamentos o productos dietoterápicos de los programas utilizados en AP.",,,
sns1064_00036,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada del opipramol frente al placebo?",a) ¿Cuál es la magnitud de los efectos deseables esperados?,Insignificante.,"Se consideró un solo ECA con un total de 208 personas con TAG; 101 fueron tratadas con opipramol y 107 con placebo durante 28 días (184). Los resultados muestran que el tratamiento con opipramol frente al placebo en adultos con TAG: No modifica los niveles de ansiedad. No modifica el riesgo de eventos adversos, los cuales estuvieron relacionados con el sistema gastrointestinal. Sin embargo, no se informa de la naturaleza específica, la gravedad y la duración de los eventos. Para más información se pueden consultar los perfiles de evidencia GRADE disponibles en el material metodológico.",,,
sns1064_00037,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia de relajación?",d) ¿Existe incertidumbre o variabilidad importante sobre cómo,La incertidumbre o variabilidad no son importantes.,"No se han podido identificar estudios que informen del valor que las personas con TAG otorgan a los diferentes desenlaces.

El GAG considera poco probable que exista variabilidad en cuanto a cómo los pacientes valoran los desenlaces principales.",,,
sns1064_00038,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada del extracto de camomila frente a placebo?",d) ¿Existe incertidumbre o variabilidad importante sobre cómo,La incertidumbre o la variabilidad probablemente sean importantes. GPC PARA EL TRATAMIENTO DEL TRASTORNO DE ANSIEDAD GENERALIZADA EN ATENCIÓN PRIMARIA 131,"No se han podido identificar estudios que informen del valor que las personas con TAG otorgan a los diferentes desenlaces.

El GAG considera poco probable que exista variabilidad en cuanto a cómo los pacientes valoran los desenlaces principales.",,,
sns1064_00039,SNS1064,dev,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia cognitivo conductual (TCC)?",g) ¿Cuál es la certeza en torno a la evidencia sobre los recursos,No hay estudios incluidos.,No se encontró evidencia sobre el uso de recursos durante el tratamiento con TCC.,,,
sns1064_00040,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada del silexan (extracto de lavanda) frente al lorazepam y al placebo?",f) ¿Cuál es la magnitud de los recursos requeridos (costes)?,Desconocido.,"No se identificaron estudios que respondieran a la pregunta.

Al ser un producto no financiado, el coste de este tratamiento sería asumido íntegramente por el paciente. Pueden existir distintas presentaciones, concentraciones y combinaciones con otras plantas medicinales. Existen distintos canales de venta y los precios pueden varían considerablemente.",,,
sns1064_00041,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada del opipramol frente al placebo?",i) ¿Cuál sería el impacto en la equidad en salud?,Probablemente sin impacto.,No se identificaron estudios que respondieran a la pregunta.,,,
sns1064_00042,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia psicodinámica?",i) ¿Cuál sería el impacto en la equidad en salud?,Probablemente reducido.,"No se identificaron estudios que respondieran a la pregunta.

En España, la derivación a los servicios de psiquiatría, psicología, trabajo social y otros es muy variable según los casos. Esta inequidad en el acceso no parece basarse en criterios clínicos, sino posiblemente en diferencias territoriales de acceso a los diferentes servicios. Se requiere más investigación sobre estas diferencias. Existen algunos proyectos pilotos para implementar la presencia del profesional de psicología clínica en AP (Canarias, Cataluña, Madrid o Asturias). Entre los criterios de derivación a las consultas de psicología clínica de AP, se encuentra el diagnóstico de TAG. Sin embargo, su implantación no es homogénea en todo el SNS.",,,
sns1064_00043,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la medicina herbal oriental combinada con los ansiolíticos, frente a los ansiolíticos?",j) ¿Es aceptable la opción para los agentes implicados?,Incierto.,"No se identificaron estudios que respondieran a la pregunta.

En términos generales, los productos elaborados sobre la base de plantas suelen percibirse como más seguros que los medicamentos.",,,
sns1064_00044,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada del granulado de hierbas Jiu Wei Zhen Xin frente a las azapironas y a los ISRS?",j) ¿Es aceptable la opción para los agentes implicados?,Incierto.,"No se identificaron estudios que respondieran a la pregunta.

En términos generales, los productos elaborados sobre la base de plantas suelen percibirse como más seguros que los medicamentos.",,,
sns1064_00045,SNS1064,train,ansiedad.txt,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia de aceptación y compromiso?",a) ¿Cuál es la magnitud de los efectos deseables esperados?,Moderada.,"Se han considerado 3 ECA (n= 176) (119–121), que comparan la aplicación de terapia de aceptación y compromiso con grupo control sin psicoterapia y lista de espera. Uno de los estudios aplica la intervención por internet (121). Los resultados muestran que el tratamiento con terapia de aceptación y compromiso frente a cualquier control en adultos con TAG: − Aumenta la probabilidad de respuesta (361 pacientes más por cada 1.000). − Aumenta la probabilidad de remisión (541 pacientes más por cada 1.000). − Reduce los niveles de ansiedad (efecto moderado), sin embargo, no supera el umbral de decisión clínica. − Reduce los niveles de preocupación (efecto moderado), sin embargo, no supera el umbral de decisión clínica. − No modifica los niveles de depresión. − No modifica los niveles de CVRS. GUÍAS DE PRÁCTICA CLÍNICA EN EL SNS 64 Para más información se pueden consultar los perfiles de evidencia GRADE disponibles en el material metodológico.",,,
